Item,RM,BM,Brand,Quality,SPL,TT,MTM,Purpose,Type,D1,W1,L1,D2,L2,Zn,D3,L3,A1_DEG,D1_Inch,W1_Inch,L1_Inch,Is PL,ROL,CETSH,Template or Variant Of,Description,EOL,Created By,Creation
HX2XRD02XX8,-,HSS,None,H-2X,None,Round Tool Bits,-,-,-,16,,150,,,,,,,-,-,-,No,,82073000,H2RD-Round Tool Bits-Metric-12mm and above,HSS NB 2X  Round Ø16x150,31-12-2099,ramesh.pant@rigpl.com,01:37.7
HX4XRD01K66,-,HSS,None,H-3X,None,Round Tool Bits,-,-,-,2.5,,100,,,,,,,-,-,-,No,,82073000,H4RD-Round Tool Bits-Metric-upto 5.9mm,HSS NB 3X  Round Ø2.5x100,31-12-2099,ramesh.pant@rigpl.com,05-12-2013 12:30
HX4XRD01KA2,-,HSS,None,H-3X,None,Round Tool Bits,-,-,-,3,,100,,,,,,,-,-,-,No,,82073000,H4RD-Round Tool Bits-Metric-upto 5.9mm,HSS NB 3X  Round Ø3x100,31-12-2099,ramesh.pant@rigpl.com,21-03-2014 16:45
HX4XRD01KE3,-,HSS,None,H-3X,None,Round Tool Bits,-,-,-,3.1,,100,,,,,,,-,-,-,No,,82073000,H4RD-Round Tool Bits-Metric-upto 5.9mm,HSS NB 3X  Round Ø3.1x100,31-12-2099,ramesh.pant@rigpl.com,05-12-2013 12:25
HX4XRD01KL8,-,HSS,None,H-3X,None,Round Tool Bits,-,-,-,3.5,,100,,,,,,,-,-,-,No,,82073000,H4RD-Round Tool Bits-Metric-upto 5.9mm,HSS NB 3X  Round Ø3.5x100,31-12-2099,ramesh.pant@rigpl.com,05-12-2013 12:29
HX4XRD01KS2,-,HSS,None,H-3X,None,Round Tool Bits,-,-,-,4,,100,,,,,,,-,-,-,No,,82073000,H4RD-Round Tool Bits-Metric-upto 5.9mm,HSS NB 3X  Round Ø4x100,31-12-2099,ramesh.pant@rigpl.com,21-03-2014 16:40
HX4XRD01KY9,-,HSS,None,H-3X,None,Round Tool Bits,-,-,-,4.1,,100,,,,,,,-,-,-,No,,82073000,H4RD-Round Tool Bits-Metric-upto 5.9mm,HSS NB 3X  Round Ø4.1x100,31-12-2099,ramesh.pant@rigpl.com,05-12-2013 12:32
HX4XRD01L16,-,HSS,None,H-3X,None,Round Tool Bits,-,-,-,4.5,,100,,,,,,,-,-,-,No,,82073000,H4RD-Round Tool Bits-Metric-upto 5.9mm,HSS NB 3X  Round Ø4.5x100,31-12-2099,ramesh.pant@rigpl.com,05-12-2013 12:36
HX4XRD01L81,-,HSS,None,H-3X,None,Round Tool Bits,-,-,-,5,,150,,,,,,,-,-,-,No,,82073000,H4RD-Round Tool Bits-Metric-upto 5.9mm,HSS NB 3X  Round Ø5x150,31-12-2099,ramesh.pant@rigpl.com,20-01-2014 13:43
HX4XRD01LD4,-,HSS,None,H-3X,None,Round Tool Bits,-,-,-,5.3,,100,,,,,,,-,-,-,No,,82073000,H4RD-Round Tool Bits-Metric-upto 5.9mm,HSS NB 3X  Round Ø5.3x100,31-12-2099,ramesh.pant@rigpl.com,21-03-2014 16:46
HX4XRD02XT5,-,HSS,None,H-3X,None,Round Tool Bits,-,-,-,20,,100,,,,,,,-,-,-,No,,82073000,H4RD-Round Tool Bits-Metric-15mm and above,HSS NB 3X  Round Ø20x100,31-12-2099,ramesh.pant@rigpl.com,25:44.5
HX3XRD01RX5,-,HSS,None,H-SP,None,Round Tool Bits,-,-,-,5,,150,,,,,,,-,-,-,No,,82073000,H3RD-Round Tool Bits-Metric-upto 8.9mm,HSS NB SP  Round Ø5x150,31-12-2099,ramesh.pant@rigpl.com,21-03-2014 16:48
HX3XRD02YW9,-,HSS,None,H-SP,None,Round Tool Bits,-,-,-,10,,100,,,,,,,-,-,-,No,,82073000,H3RD-Round Tool Bits-Metric-9mm and above,HSS NB SP  Round Ø10x100,31-12-2099,ramesh.pant@rigpl.com,49:38.3
HR1XRD000T6,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,0.397,,76.2,,,,,,,Jan-64,-,3,No,,82073000,H1RD-Round Tool Bits-BSW-upto 3.9mm,"HSS Rohit- 1X  Round Ø1/64""x3""",31-12-2099,Administrator,06-10-2010 17:30
HR1XRD000U4,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,0.397,,101.6,,,,,,,Jan-64,-,4,No,,82073000,H1RD-Round Tool Bits-BSW-upto 3.9mm,"HSS Rohit- 1X  Round Ø1/64""x4""",31-12-2099,Administrator,06-10-2010 17:30
HR1XRD02P25,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,0.7,,30,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø0.7x30,31-12-2099,abhinav@rigpl.com,53:58.7
HR1XRD000Y5,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,0.7,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø0.7x75,31-12-2099,ramesh.pant@rigpl.com,28-06-2013 14:12
HR1XRD00153,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,0.9,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø0.9x100,31-12-2099,aditya@rigpl.com,19-10-2011 09:12
HR1XRD00161,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,0.9,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø0.9x150,31-12-2099,aditya@rigpl.com,19-10-2011 09:11
HR1XRD00179,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD00187,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD00195,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD001C3,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.1,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.1x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD001D0,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.1,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.1x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD001E8,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.1,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.1x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD001P4,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.2,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.2x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD001Q2,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.2,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.2x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD001R0,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.2,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.2x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD001U3,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.3,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.3x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD001V1,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.3,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.3x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD001W9,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.3,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.3x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD001Z2,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.4,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.4x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD00203,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.4,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.4x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD00211,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.4,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.4x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD00245,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.5,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.5x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD00252,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.5,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.5x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD00260,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.5,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.5x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002E7,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.6,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.6x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002F5,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.6,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.6x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002G3,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.6,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.6x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002K4,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.7,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.7x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002L2,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.7,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.7x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002M0,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.7,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.7x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002Q1,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.8,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.8x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002R9,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.8,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.8x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002S6,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.8,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.8x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002V0,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.9,,50,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.9x50,31-12-2099,ramesh.pant@rigpl.com,28-05-2012 15:16
HR1XRD002W8,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.9,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.9x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002X5,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.9,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.9x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD002Y3,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.9,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-upto 1.9mm,HSS Rohit- 1X  Round Ø1.9x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD00310,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,1.984,,76.2,,,,,,,May-64,-,3,No,,82073000,H1RD-Round Tool Bits-BSW-upto 3.9mm,"HSS Rohit- 1X  Round Ø5/64""x3""",31-12-2099,Administrator,06-10-2010 17:30
HR1XRD00369,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2,,63,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2x63,31-12-2099,Administrator,18-01-2011 15:14
HR1XRD00377,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2,,75,,,,,,,-,-,-,No,50,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2x75,31-12-2099,aditya@rigpl.com,06-10-2010 17:30
HR1XRD00385,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2,,100,,,,,,,-,-,-,No,30,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2x100,31-12-2099,aditya@rigpl.com,06-10-2010 17:30
HR1XRD00393,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD003C1,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2.1,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2.1x75,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD003D8,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2.1,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2.1x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD003E6,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2.1,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2.1x150,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD003H0,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2.15,,75,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2.15x75,31-12-2099,ramesh.pant@rigpl.com,31-08-2013 16:06
HR1XRD003J5,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2.2,,75,,,,,,,-,-,-,No,5,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2.2x75,31-12-2099,aditya@rigpl.com,06-10-2010 17:30
HR1XRD003K3,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2.2,,100,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2.2x100,31-12-2099,Administrator,06-10-2010 17:30
HR1XRD003L1,-,HSS,Rohit,H-1X,None,Round Tool Bits,-,-,-,2.2,,150,,,,,,,-,-,-,No,,82073000,H1RD-Round Tool Bits-Metric-2mm to 2.9mm,HSS Rohit- 1X  Round Ø2.2x150,31-12-2099,Administrator,06-10-2010 17:30
