"Item","Series","RM","BM","Brand","Quality","SPL","TT","MTM","Purpose","Type","D1","W1","L1","D2","L2","Zn","D3","L3","A1_DEG","D1_Inch","W1_Inch","L1_Inch","Is PL","ROL","CETSH","Template or Variant Of","Description","EOL","Created By","Creation"
"HR1XCA00098","NO-SERIES","-","HSS","Rohit","H-1X","None","Centre Drill Type A","-","-","DIN333",4,"",5.6,10,100,2,"","",120,"-","-","-","No","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 1X  DIN 333 C-Drill Typ-A PØ:4 PL:5.6 BØ:10 OAL:100 Z=2","2099-12-31","aditya@rigpl.com","2013-08-31 08:30:11"
"HR1XCA000A0","NO-SERIES","-","HSS","Rohit","H-1X","None","Centre Drill Type A","-","-","DIN333",4,"",5.6,10,150,2,"","",120,"-","-","-","No","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 1X  DIN 333 C-Drill Typ-A PØ:4 PL:5.6 BØ:10 OAL:150 Z=2","2099-12-31","aditya@rigpl.com","2013-08-31 08:33:57"
"HR1XCA000M4","NO-SERIES","-","HSS","Rohit","H-1X","None","Centre Drill Type A","-","-","BS5",4.763,"",6.35,11.113,63.5,2,"","",120,"3/16","-","1/4","Yes",40,"82079090","HCA-Center Drill Type A-BSW","HSS Rohit- 1X  BS5 C-Drill Typ-A OAL:2+1/2"" Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:37"
"HR1XCA000N1","NO-SERIES","-","HSS","Rohit","H-1X","None","Centre Drill Type A","-","-","DIN333",5,"",6.9,12.5,63,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 1X  DIN 333 C-Drill Typ-A PØ:5 PL:6.9 BØ:12.5 OAL:63 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:39"
"HR1XCA000P7","NO-SERIES","-","HSS","Rohit","H-1X","None","Centre Drill Type A","-","-","DIN333",6.3,"",8.6,16,71,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 1X  DIN 333 C-Drill Typ-A PØ:6.3 PL:8.6 BØ:16 OAL:71 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:39"
"HR1XCA000Q5","NO-SERIES","-","HSS","Rohit","H-1X","None","Centre Drill Type A","-","-","BS6",6.35,"",7.938,15.875,76.2,2,"","",120,"1/4","-","5/16","Yes","","82079090","HCA-Center Drill Type A-BSW","HSS Rohit- 1X  BS6 C-Drill Typ-A OAL:3"" Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:37"
"HR1XCA000R3","NO-SERIES","-","HSS","Rohit","H-1X","None","Centre Drill Type A","-","-","BS7",7.938,"",10.319,19.05,88.9,2,"","",120,"5/16","-","13/32","Yes","","82079090","HCA-Center Drill Type A-BSW","HSS Rohit- 1X  BS7 C-Drill Typ-A OAL:3+1/2"" Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:37"
"HR1XCA000S0","NO-SERIES","-","HSS","Rohit","H-1X","None","Centre Drill Type A","-","-","DIN333",8,"",10.8,20,80,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 1X  DIN 333 C-Drill Typ-A PØ:8 PL:10.8 BØ:20 OAL:80 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:39"
"HR1XCA000T8","NO-SERIES","-","HSS","Rohit","H-1X","None","Centre Drill Type A","-","-","DIN333",10,"",13.5,25,100,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 1X  DIN 333 C-Drill Typ-A PØ:10 PL:13.5 BØ:25 OAL:100 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:39"
"HR2XCA000U5","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","BS1",1.191,"",1.588,3.175,38.1,2,"","",120,"1/32","-","1/16","Yes","","82079090","HCA-Center Drill Type A-BSW","HSS Rohit- 2X  BS1 C-Drill Typ-A OAL:1+1/2"" Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:37"
"HR2XCA000V3","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","DIN333",1.25,"",1.8,3.15,31.5,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 2X  DIN 333 C-Drill Typ-A PØ:1.25 PL:1.8 BØ:3.15 OAL:31.5 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:39"
"HR2XCA000W1","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","BS2",1.588,"",1.984,4.763,44.45,2,"","",120,"1/16","-","5/64","Yes","","82079090","HCA-Center Drill Type A-BSW","HSS Rohit- 2X  BS2 C-Drill Typ-A OAL:1+3/4"" Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:37"
"HR2XCA000X8","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","DIN333",1.6,"",2.4,4,35.5,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 2X  DIN 333 C-Drill Typ-A PØ:1.6 PL:2.4 BØ:4 OAL:35.5 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:39"
"HR2XCA000Y6","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","DIN333",2,"",2.9,5,40,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 2X  DIN 333 C-Drill Typ-A PØ:2 PL:2.9 BØ:5 OAL:40 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:39"
"HR2XCA000Z4","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","BS3",2.381,"",3.175,6.35,50.8,2,"","",120,"3/32","-","1/8","Yes","","82079090","HCA-Center Drill Type A-BSW","HSS Rohit- 2X  BS3 C-Drill Typ-A OAL:2"" Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:37"
"HR2XCA00105","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","DIN333",2.5,"",3.6,6.3,45,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 2X  DIN 333 C-Drill Typ-A PØ:2.5 PL:3.6 BØ:6.3 OAL:45 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:40"
"HR2XCA00113","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","DIN333",3.15,"",4.4,8,50,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 2X  DIN 333 C-Drill Typ-A PØ:3.15 PL:4.4 BØ:8 OAL:50 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:40"
"HR2XCA00121","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","BS4",3.175,"",3.969,7.938,57.15,2,"","",120,"1/8","-","5/32","Yes",5,"82079090","HCA-Center Drill Type A-BSW","HSS Rohit- 2X  BS4 C-Drill Typ-A OAL:2+1/4"" Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:37"
"HR2XCA00139","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","DIN333",4,"",5.6,10,56,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 2X  DIN 333 C-Drill Typ-A PØ:4 PL:5.6 BØ:10 OAL:56 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:40"
"HR2XCA00147","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","BS5",4.763,"",6.35,11.113,63.5,2,"","",120,"3/16","-","1/4","Yes","","82079090","HCA-Center Drill Type A-BSW","HSS Rohit- 2X  BS5 C-Drill Typ-A OAL:2+1/2"" Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:37"
"HR2XCA00154","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","DIN333",5,"",6.9,12.5,63,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 2X  DIN 333 C-Drill Typ-A PØ:5 PL:6.9 BØ:12.5 OAL:63 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:40"
"HR2XCA00162","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","DIN333",6.3,"",8.6,16,71,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 2X  DIN 333 C-Drill Typ-A PØ:6.3 PL:8.6 BØ:16 OAL:71 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:40"
"HR2XCA00170","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","BS6",6.35,"",7.938,15.875,76.2,2,"","",120,"1/4","-","5/16","Yes","","82079090","HCA-Center Drill Type A-BSW","HSS Rohit- 2X  BS6 C-Drill Typ-A OAL:3"" Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:38"
"HR2XCA00188","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","BS7",7.938,"",10.319,19.05,88.9,2,"","",120,"5/16","-","13/32","Yes","","82079090","HCA-Center Drill Type A-BSW","HSS Rohit- 2X  BS7 C-Drill Typ-A OAL:3+1/2"" Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:38"
"HR2XCA00196","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","DIN333",8,"",10.8,20,80,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 2X  DIN 333 C-Drill Typ-A PØ:8 PL:10.8 BØ:20 OAL:80 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:40"
"HR2XCA001A8","NO-SERIES","-","HSS","Rohit","H-2X","None","Centre Drill Type A","-","-","DIN333",10,"",13.5,25,100,2,"","",120,"-","-","-","Yes","","82079090","HCA-Center Drill Type A-Metric","HSS Rohit- 2X  DIN 333 C-Drill Typ-A PØ:10 PL:13.5 BØ:25 OAL:100 Z=2","2099-12-31","aditya@rigpl.com","2013-05-01 11:37:40"
