"Item","Series","RM","BM","Brand","Quality","SPL","TT","MTM","Purpose","Type","D1","W1","L1","D2","L2","Zn","D3","L3","A1_DEG","D1_Inch","W1_Inch","L1_Inch","Is PL","ROL","CETSH","Template or Variant Of","Description","EOL","Created By","Creation"
"HX1XSQ003Z7","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",12.7,12.7,152.4,"","","","","",15,"1/2","1/2","6","No",10,"82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 1/2""x1/2""x6"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-05-03 14:17:34"
"HX1XSQ00416","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",12.7,12.7,203.2,"","","","","",15,"1/2","1/2","8","No","","82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 1/2""x1/2""x8"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-06-07 14:36:15"
"HX1XSQ00432","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",12.7,12.7,254,"","","","","",15,"1/2","1/2","10","No","","82078000","H1SQ-Square Tool Bits-BSW-7mm to 12.9mm","HSS NB 1X  SQ 1/2""x1/2""x10"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-10-21 15:26:37"
"HX1XSQ004F0","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",15.875,15.875,101.6,"","","","","",15,"5/8","5/8","4","No",10,"82078000","H1SQ-Square Tool Bits-BSW-13mm and above","HSS NB 1X  SQ 5/8""x5/8""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-01-11 10:28:07"
"HX1XSQ00NK3","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",15.875,15.875,152.4,"","","","","",0,"5/8","5/8","6","No",5,"82078000","H1SQ-Square Tool Bits-BSW-13mm and above","HSS NB 1X  SQ 5/8""x5/8""x6"" 0°","2099-12-31","ramesh.pant@rigpl.com","2014-12-04 14:04:29.705914"
"HX1XSQ004L7","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",16,16,100,"","","","","",15,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-15mm and above","HSS NB 1X  SQ 16x16x100 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-10 17:51:05"
"HX1XSQ004N2","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",16,16,150,"","","","","",15,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-15mm and above","HSS NB 1X  SQ 16x16x150 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-24 12:51:25"
"HX1XSQ00N28","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",19.05,19.05,101.6,"","","","","",15,"3/4","3/4","4","No",5,"82078000","H1SQ-Square Tool Bits-BSW-13mm and above","HSS NB 1X  SQ 3/4""x3/4""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-07-11 14:37:51.650012"
"HX1XSQ00PD6","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",19.05,19.05,127,"","","","","",0,"3/4","3/4","5","No","","82078000","H1SQ-Square Tool Bits-BSW-13mm and above","HSS NB 1X  SQ 3/4""x3/4""x5"" 0°","2099-12-31","ramesh.pant@rigpl.com","2015-07-04 13:46:08.258473"
"HX1XSQ00507","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",19.05,19.05,152.4,"","","","","",15,"3/4","3/4","6","No","","82078000","H1SQ-Square Tool Bits-BSW-13mm and above","HSS NB 1X  SQ 3/4""x3/4""x6"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-01-16 13:23:31"
"HX1XSQ00N36","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",19.05,19.05,203.2,"","","","","",15,"3/4","3/4","8","No",2,"82078000","H1SQ-Square Tool Bits-BSW-13mm and above","HSS NB 1X  SQ 3/4""x3/4""x8"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-07-11 14:44:32.055043"
"HX1XSQ00PH8","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",20,20,200,"","","","","",0,"-","-","-","No","","82078000","H1SQ-Square Tool Bits-Metric-15mm and above","HSS NB 1X  SQ 20x20x200 0°","2099-12-31","ramesh.pant@rigpl.com","2015-08-03 13:44:11.345031"
"HX1XSQ00N44","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",25.4,25.4,203.2,"","","","","",15,"1","1","8","No",5,"82078000","H1SQ-Square Tool Bits-BSW-13mm and above","HSS NB 1X  SQ 1""x1""x8"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-07-11 14:48:27.032449"
"HX1XSQ00N51","NO-SERIES","-","HSS","None","H-1X","None","Square Tool Bits","-","-","-",25.4,25.4,254,"","","","","",15,"1","1","10","No","","82078000","H1SQ-Square Tool Bits-BSW-13mm and above","HSS NB 1X  SQ 1""x1""x10"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-07-11 14:52:59.026167"
"HX2XSQ00NR7","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",3.175,3.175,31.75,"","","","","",0,"1/8","1/8","1+1/4","No","","82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 1/8""x1/8""x1+1/4"" 0°","2099-12-31","ramesh.pant@rigpl.com","2015-02-03 15:52:29.140939"
"HX2XSQ00P90","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",4,4,100,"","","","","",0,"-","-","-","No","","82078000","H2SQ-Square Tool Bits-Metric-upto 10.9mm","HSS NB 2X  SQ 4x4x100 0°","2099-12-31","ramesh.pant@rigpl.com","2015-04-03 10:54:41.080477"
"HX2XSQ006D1","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",4.763,4.763,63.5,"","","","","",15,"3/16","3/16","2+1/2","No","","82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 3/16""x3/16""x2+1/2"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-04-19 12:45:07"
"HX2XSQ006G5","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",4.763,4.763,101.6,"","","","","",15,"3/16","3/16","4","No","","82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 3/16""x3/16""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-10-15 14:27:37"
"HX2XSQ006J8","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",4.763,4.763,152.4,"","","","","",15,"3/16","3/16","6","No","","82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 3/16""x3/16""x6"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-10-15 14:30:23"
"HX2XSQ00PB0","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",5,5,100,"","","","","",0,"-","-","-","No","","82078000","H2SQ-Square Tool Bits-Metric-upto 10.9mm","HSS NB 2X  SQ 5x5x100 0°","2099-12-31","ramesh.pant@rigpl.com","2015-04-03 11:04:26.163271"
"HX2XSQ00PK0","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",6,6,65,"","","","","",15,"-","-","-","No","","82078000","H2SQ-Square Tool Bits-Metric-upto 10.9mm","HSS NB 2X  SQ 6x6x65 15°","2099-12-31","ramesh.pant@rigpl.com","2015-11-17 13:02:20.976521"
"HX2XSQ00PF1","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",6.35,6.35,63.5,"","","","","",15,"1/4","1/4","2+1/2","No","","82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 1/4""x1/4""x2+1/2"" 15°","2099-12-31","aditya@rigpl.com","2015-08-01 09:58:12.777642"
"HX2XSQ006W0","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",6.35,6.35,76.2,"","","","","",15,"1/4","1/4","3","No",30,"82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 1/4""x1/4""x3"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-10 16:56:03"
"HX2XSQ006Y5","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",6.35,6.35,101.6,"","","","","",15,"1/4","1/4","4","No",10,"82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 1/4""x1/4""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-05-31 12:10:59"
"HX2XSQ00704","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",6.35,6.35,152.4,"","","","","",15,"1/4","1/4","6","No",10,"82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 1/4""x1/4""x6"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-05-31 12:20:45"
"HX2XSQ00NG1","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",7.938,7.938,63.5,"","","","","",0,"5/16","5/16","2+1/2","No","","82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 5/16""x5/16""x2+1/2"" 0°","2099-12-31","ramesh.pant@rigpl.com","2014-10-06 10:58:11.820694"
"HX2XSQ00761","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",7.938,7.938,76.2,"","","","","",15,"5/16","5/16","3","No","","82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 5/16""x5/16""x3"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-03 12:44:25"
"HX2XSQ00787","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",7.938,7.938,101.6,"","","","","",15,"5/16","5/16","4","No",5,"82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 5/16""x5/16""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-05-31 12:32:48"
"HX2XSQ007A7","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",7.938,7.938,152.4,"","","","","",15,"5/16","5/16","6","No","","82078000","H2SQ-Square Tool Bits-BSW-upto 8.9mm","HSS NB 2X  SQ 5/16""x5/16""x6"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-10-15 14:32:26"
"HX2XSQ007W9","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",9.525,9.525,76.2,"","","","","",15,"3/8","3/8","3","No",50,"82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 3/8""x3/8""x3"" 15°","2099-12-31","anuj@rigpl.com","2013-05-15 15:55:10"
"HX2XSQ007Y4","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",9.525,9.525,101.6,"","","","","",15,"3/8","3/8","4","No",20,"82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 3/8""x3/8""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-05-31 12:37:49"
"HX2XSQ00PG9","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",9.525,9.525,127,"","","","","",15,"3/8","3/8","5","No","","82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 3/8""x3/8""x5"" 15°","2099-12-31","aditya@rigpl.com","2015-08-01 10:05:42.825797"
"HX2XSQ00NQ9","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",9.525,9.525,152.4,"","","","","",0,"3/8","3/8","6","No",5,"82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 3/8""x3/8""x6"" 0°","2099-12-31","ramesh.pant@rigpl.com","2015-02-03 15:34:53.960134"
"HX2XSQ00811","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",9.525,9.525,203.2,"","","","","",15,"3/8","3/8","8","No","","82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 3/8""x3/8""x8"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-05-30 14:19:29"
"HX2XSQ00837","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",9.525,9.525,254,"","","","","",15,"3/8","3/8","10","No","","82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 3/8""x3/8""x10"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-10-12 17:48:18"
"HX2XSQ00878","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",10,10,100,"","","","","",15,"-","-","-","No","","82078000","H2SQ-Square Tool Bits-Metric-upto 10.9mm","HSS NB 2X  SQ 10x10x100 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-03 13:02:43"
"HX2XSQ00PA2","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",10,10,200,"","","","","",0,"-","-","-","No","","82078000","H2SQ-Square Tool Bits-Metric-upto 10.9mm","HSS NB 2X  SQ 10x10x200 0°","2099-12-31","ramesh.pant@rigpl.com","2015-04-03 10:59:21.256412"
"HX2XSQ008E7","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",12,12,100,"","","","","",15,"-","-","-","No","","82078000","H2SQ-Square Tool Bits-Metric-11mm and above","HSS NB 2X  SQ 12x12x100 15°","2099-12-31","ramesh.pant@rigpl.com","2013-09-03 12:50:56"
"HX2XSQ008T4","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",12.7,12.7,101.6,"","","","","",15,"1/2","1/2","4","No",70,"82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 1/2""x1/2""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-05-31 12:56:17"
"HX2XSQ008V0","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",12.7,12.7,152.4,"","","","","",15,"1/2","1/2","6","No","","82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 1/2""x1/2""x6"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-05-31 13:02:36"
"HX2XSQ008Y3","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",12.7,12.7,254,"","","","","",15,"1/2","1/2","10","No","","82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 1/2""x1/2""x10"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-10-12 17:52:54"
"HX2XSQ00944","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",15.875,15.875,101.6,"","","","","",15,"5/8","5/8","4","No","","82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 5/8""x5/8""x4"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-12-11 13:06:16"
"HX2XSQ00969","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",15.875,15.875,152.4,"","","","","",15,"5/8","5/8","6","No","","82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 5/8""x5/8""x6"" 15°","2099-12-31","ramesh.pant@rigpl.com","2013-05-31 13:09:01"
"HX2XSQ00N76","NO-SERIES","-","HSS","None","H-2X","None","Square Tool Bits","-","-","-",15.875,15.875,203.2,"","","","","",15,"5/8","5/8","8","No","","82078000","H2SQ-Square Tool Bits-BSW-9mm and above","HSS NB 2X  SQ 5/8""x5/8""x8"" 15°","2099-12-31","ramesh.pant@rigpl.com","2014-07-16 18:22:28.159303"
